Wall time,Step,Value
1706769521.326181,100,1.2719712257385254
1706769562.8044367,380,1.3452835083007812
1706769618.7533898,820,0.949798583984375
1706769636.6204784,960,1.1010479927062988
1706769674.8491244,1260,1.1016733646392822
1706769677.4067926,1280,1.0673514604568481
1706769697.7257023,1440,1.0803192853927612
1706769712.9434812,1560,0.9524744153022766
1706769725.6597264,1660,1.1109144687652588
1706769743.395515,1800,0.9540364742279053
1706769778.8937342,2080,1.0259113311767578
1706769789.0140753,2160,0.996813178062439
1706769824.5367393,2440,0.9618064165115356
1706769842.3093064,2580,1.014060616493225
1706769847.3686142,2620,0.9536934494972229
1706769916.2729409,3160,0.965105414390564
1706769923.9856892,3220,0.9715039730072021
1706769929.1171467,3260,1.0566028356552124
1706769934.2468781,3300,0.9915790557861328
1706769954.805949,3460,0.894290030002594
1706770003.9171042,3840,0.9413129687309265
1706770034.3849294,4080,0.9491772651672363
1706770039.4798992,4120,0.9656937122344971
1706770100.5277555,4600,1.0615127086639404
1706770138.698419,4900,0.9531898498535156
1706770141.2502863,4920,0.8611160516738892
1706770177.269203,5200,0.9208715558052063
1706770207.7026591,5440,1.0308055877685547
1706770215.3042061,5500,0.9343248605728149
1706770235.7201436,5660,1.0306181907653809
1706770243.3326902,5720,1.0135319232940674
1706770268.7371545,5920,0.9596834182739258
1706770322.0133061,6340,1.091557502746582
1706770329.6310544,6400,0.9221038818359375
1706770337.2467427,6460,0.9358031749725342
1706770398.3740997,6940,0.9013884663581848
1706770428.9231126,7180,0.91158527135849
1706770444.336548,7300,0.9275747537612915
1706770449.4228685,7340,0.8755876421928406
1706770479.9935865,7580,0.9058297872543335
1706770500.3113825,7740,0.9221912026405334
1706770510.4763231,7820,0.875586986541748
1706770541.0269423,8060,1.0071032047271729
1706770573.9899719,8320,0.822969913482666
1706770591.759789,8460,0.8836081027984619
1706770627.4182856,8740,0.9596573710441589
1706770629.9682884,8760,0.8774765729904175
1706770635.0331843,8800,0.9946749806404114
1706770652.8191345,8940,0.8989226222038269
1706770690.9541557,9240,0.8987085223197937
1706770701.1328642,9320,0.933403730392456
1706770726.5897725,9520,0.8975985646247864
1706770739.3509471,9620,0.8639398813247681
1706770741.8958178,9640,0.9450263381004333
1706770757.2043734,9760,0.9575306177139282
1706770815.8627415,10220,0.9512435793876648
1706770821.0295916,10260,0.9299183487892151
1706770823.6222453,10280,0.9587560296058655
1706770833.8563993,10360,0.8522608280181885
1706770874.7480125,10680,0.9352846145629883
1706770887.505114,10780,0.8938001394271851
1706770892.5981715,10820,0.9815927743911743
1706770923.038296,11060,0.861617386341095
1706770933.2378132,11140,0.988598108291626
1706770948.4564214,11260,0.847365140914917
1706771019.6325805,11820,0.8536498546600342
1706771029.7644856,11900,0.880905032157898
1706771034.8442988,11940,0.8930321931838989
1706771116.1554115,12580,0.9081820249557495
1706771118.6868691,12600,0.8989152908325195
1706771138.9822838,12760,0.8733932375907898
1706771154.1954956,12880,0.8511434197425842
1706771156.7444744,12900,0.9194161295890808
1706771192.258713,13180,0.9051217436790466
1706771215.0732787,13360,0.93415367603302
1706771235.3878856,13520,0.9142791032791138
1706771283.5869336,13900,0.8560690879821777
1706771352.2624576,14440,0.9014388918876648
1706771362.4211688,14520,0.930182158946991
1706771410.5893638,14900,0.8727822303771973
1706771461.3884628,15300,0.8714376091957092
1706771489.2859104,15520,0.8770207166671753
1706771491.8260615,15540,0.9005059003829956
1706771507.0411725,15660,0.8734327554702759
1706771522.239767,15780,0.8738536238670349
1706771562.8683655,16100,0.8714293241500854
1706771565.3992095,16120,0.8613131642341614
1706771570.5051038,16160,0.8581365346908569
1706771601.0091789,16400,0.9428302049636841
1706771634.1114445,16660,0.9154419898986816
1706771697.855925,17160,0.8718260526657104
1706771720.7599554,17340,0.9100918769836426
1706771733.4428873,17440,0.8318251371383667
1706771771.5618155,17740,0.9151270389556885
1706771799.5025837,17960,0.9497352838516235
1706771809.6584253,18040,0.9071295857429504
1706771883.3230784,18620,0.8346958756446838
1706771913.874596,18860,0.8786447048187256
1706771931.7213843,19000,0.9527576565742493
1706772059.048648,20000,0.8791931867599487
1706772066.8046293,20060,0.8534942269325256
1706772071.8871346,20100,0.8926660418510437
1706772099.8601341,20320,0.9133429527282715
1706772117.6500661,20460,0.8876272439956665
1706772127.8592417,20540,0.9289562106132507
