Wall time,Step,Value
1706769521.3262258,100,0.7421273589134216
1706769562.8045542,380,0.8132945895195007
1706769618.7534583,820,0.48878049850463867
1706769636.6205373,960,0.6060057878494263
1706769674.849186,1260,0.5764284729957581
1706769677.4069006,1280,0.5567450523376465
1706769697.725749,1440,0.5802446603775024
1706769712.9435303,1560,0.5075554847717285
1706769725.6597722,1660,0.5935528874397278
1706769743.395578,1800,0.4907153248786926
1706769778.8938158,2080,0.538861870765686
1706769789.014137,2160,0.5220235586166382
1706769824.5370576,2440,0.49663710594177246
1706769842.3093798,2580,0.5172582268714905
1706769847.3686945,2620,0.4875836968421936
1706769916.2783992,3160,0.48770156502723694
1706769923.9857392,3220,0.4913911819458008
1706769929.1171997,3260,0.5686092376708984
1706769934.2472217,3300,0.5068407654762268
1706769954.8061008,3460,0.44155532121658325
1706770003.9171684,3840,0.46425244212150574
1706770034.3851533,4080,0.4414573907852173
1706770039.4799445,4120,0.4897759258747101
1706770100.527805,4600,0.5670037269592285
1706770138.6985178,4900,0.5055392384529114
1706770141.250601,4920,0.4319589138031006
1706770177.269248,5200,0.46588337421417236
1706770207.702705,5440,0.5331457257270813
1706770215.3042529,5500,0.4630680978298187
1706770235.720191,5660,0.5453125238418579
1706770243.332751,5720,0.5265292525291443
1706770268.7372017,5920,0.5154513716697693
1706770322.0133505,6340,0.5863180756568909
1706770329.6310985,6400,0.43977952003479004
1706770337.2467883,6460,0.4695707857608795
1706770398.374143,6940,0.4599834084510803
1706770428.9231563,7180,0.43719369173049927
1706770444.3366063,7300,0.4757135808467865
1706770449.4229138,7340,0.41353973746299744
1706770479.9936552,7580,0.427545428276062
1706770500.3114305,7740,0.47363147139549255
1706770510.4763947,7820,0.3986736536026001
1706770541.027133,8060,0.5282858610153198
1706770573.990018,8320,0.3759515881538391
1706770591.7598317,8460,0.4232589602470398
1706770627.4183736,8740,0.4880005419254303
1706770629.9683492,8760,0.43678632378578186
1706770635.033291,8800,0.49446216225624084
1706770652.8193614,8940,0.4464550018310547
1706770690.9542503,9240,0.43247103691101074
1706770701.132914,9320,0.46397465467453003
1706770726.5898187,9520,0.4235277771949768
1706770739.3509943,9620,0.4188784062862396
1706770741.895871,9640,0.4908781051635742
1706770757.204455,9760,0.497011661529541
1706770815.8627994,10220,0.48423564434051514
1706770821.0299056,10260,0.4929768145084381
1706770823.6222956,10280,0.476881206035614
1706770833.8564641,10360,0.4180182218551636
1706770874.7480896,10680,0.4669834077358246
1706770887.505175,10780,0.4356902837753296
1706770892.598225,10820,0.5036500096321106
1706770923.0383677,11060,0.38966384530067444
1706770933.2378561,11140,0.5073325634002686
1706770948.4565597,11260,0.4034113883972168
1706771019.6327267,11820,0.41198843717575073
1706771029.7645533,11900,0.41988605260849
1706771034.8443694,11940,0.44556528329849243
1706771116.1555078,12580,0.45260733366012573
1706771118.686941,12600,0.43476247787475586
1706771138.9823308,12760,0.43682408332824707
1706771154.1955547,12880,0.3957107365131378
1706771156.744688,12900,0.45371487736701965
1706771192.258757,13180,0.45356959104537964
1706771215.073325,13360,0.463511198759079
